page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,ATE075,NEUROFOCUS : STRATÉGIES D'ÉTUDES OPTIMALES,01,Wednesday,09:00,12:30,Workshop,In-person,E-2025
1,ATE085,NEUROFOCUS : ÉQUILIBRE DE VIE AUX ÉTUDES,01,Wednesday,13:30,17:00,Workshop,In-person,E-2025
1,CHM131,CHIMIE ET MATÉRIAUX,01,Thursday,09:00,12:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,01,Tuesday,09:00,12:00,Lab,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,02,Friday,09:00,12:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,02,Wednesday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,03,Monday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,03,Wednesday,09:00,12:30,Lecture,In-person,B-1516
1,CHM131,CHIMIE ET MATÉRIAUX,04,Friday,13:30,17:00,Lecture,In-person,B-1716
1,CHM131,CHIMIE ET MATÉRIAUX,04,Thursday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Monday,13:30,17:00,Lecture,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,05,Tuesday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,06,Thursday,09:00,12:00,Lab,In-person,B-1708
1,CHM131,CHIMIE ET MATÉRIAUX,06,Tuesday,09:00,12:30,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,07,Tuesday,18:00,21:30,Lecture,In-person,B-1708
1,CHM131,CHIMIE ET MATÉRIAUX,07,Wednesday,18:00,21:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,08,Monday,09:00,12:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,08,Wednesday,09:00,12:00,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,09,Friday,13:30,16:30,Lab,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,09,Thursday,13:30,17:00,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,10,Tuesday,18:00,21:00,Lab,In-person,B-1508
1,CHM131,CHIMIE ET MATÉRIAUX,10,Wednesday,18:00,21:30,Lecture,In-person,B-1402
1,COM120,MÉTHODES DE COMMUNICATION,01,Friday,08:30,12:30,Lab,,B-3404
1,COM120,MÉTHODES DE COMMUNICATION,01,Monday,13:30,17:00,Lecture,In-person,B-3414
1,COM120,MÉTHODES DE COMMUNICATION,02,Friday,13:30,17:00,Lecture,In-person,B-3432
1,COM120,MÉTHODES DE COMMUNICATION,02,Wednesday,08:30,12:30,Lab,,B-3410
1,COM120,MÉTHODES DE COMMUNICATION,03,Thursday,18:00,22:00,Lab,,B-3404
1,COM120,MÉTHODES DE COMMUNICATION,03,Tuesday,18:00,21:30,Lecture,In-person,B-1502
2,COM210,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Thursday,13:30,17:30,Lab,,B-3410
2,COM210,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Wednesday,13:30,17:00,Lecture,In-person,B-3404
2,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Monday,08:30,12:30,Lab,,B-4416
2,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Tuesday,13:30,17:00,Lecture,In-person,B-1508
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,01,Monday,09:00,12:30,Lecture,In-person,D-4017
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,01,Wednesday,18:00,20:00,Lab,In-person,B-1502
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,02,Tuesday,13:30,17:00,Lecture,In-person,B-3422
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,02,Wednesday,18:00,20:00,Lab,In-person,B-1502
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Tuesday,13:30,17:00,Lecture,In-person,D-4017
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Wednesday,13:30,15:30,Lab,In-person,D-5008
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,02,Friday,09:00,12:30,Lecture,In-person,D-4018
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,02,Tuesday,08:30,10:30,Lab,In-person,B-3416
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,03,Monday,10:30,12:30,Lab,In-person,B-1708
2,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,03,Thursday,09:00,12:30,Lecture,In-person,B-1518
