page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,13:30,17:00,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,01,Thursday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,02,Wednesday,13:30,16:30,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,03,Friday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,03,Monday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,04,Tuesday,13:30,17:00,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,04,Wednesday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,05,Friday,13:30,16:30,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,05,Thursday,13:30,17:00,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,06,Monday,13:30,16:30,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,06,Thursday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,07,Tuesday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,07,Wednesday,13:30,17:00,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,08,Friday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,08,Monday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,09,Tuesday,13:30,17:00,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,09,Wednesday,09:00,12:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,10,Monday,18:00,21:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,10,Wednesday,18:00,21:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,11,Friday,18:00,21:00,Lab,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,11,Tuesday,18:00,21:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,12,Saturday,09:00,12:30,Lecture,In-person,
1,CHM131,CHIMIE ET MATÉRIAUX,12,Saturday,13:30,16:30,Lab,In-person,
1,COM120,MÉTHODES DE COMMUNICATION,01,Monday,09:00,12:30,Lecture,In-person,
1,COM120,MÉTHODES DE COMMUNICATION,01,Wednesday,08:30,12:30,Lab,In-person,
1,COM120,MÉTHODES DE COMMUNICATION,02,Thursday,18:00,21:30,Lecture,In-person,
1,COM120,MÉTHODES DE COMMUNICATION,02,Tuesday,18:00,22:00,Lab,In-person,
1,COM410,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Thursday,13:30,17:30,Lab,In-person,
1,COM410,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Tuesday,13:30,17:00,Lecture,In-person,
1,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Monday,13:30,15:30,Lab,In-person,
